host,is_anchor,z_hd,sigma,mu_published,mu_published_err,mu_matrix,mu_matrix_err,delta_mu,delta_mu_err,h0_published,h0_matrix,delta_h0,abs_delta_mu,abs_delta_h0
N0691,False,0.00855,101.84679244339156,32.82220038569176,0.0876811481466406,32.82220030907798,0.0876811481466406,7.661378020884513e-08,0.12399986887342371,69.87900951130109,69.87901197676882,-2.4654677304170036e-06,7.661378020884513e-08,2.4654677304170036e-06
N1015,False,0.00815,101.5484288080592,32.617748081806326,0.060076741756443,32.617748176168035,0.0600767417564431,-9.436170955723355e-08,0.08496134297514779,73.18611526208778,73.18611208177255,3.1803152324982875e-06,9.436170955723355e-08,3.1803152324982875e-06
N105A,False,0.01682,83.85761906519484,34.493374963451345,0.1193578058476689,34.49337515060869,0.11935780584766911,-1.8715734739771506e-07,0.16879742780486823,63.675402914450224,63.675397426322014,5.488128209663046e-06,1.8715734739771506e-07,5.488128209663046e-06
N1309,False,0.00719,85.48966270428608,32.50896360923535,0.0506780279748097,32.50896363299066,0.050678027974809775,-2.375530527842784e-08,0.07166955447629904,67.88235044378399,67.88234970116991,7.426140768984624e-07,2.375530527842784e-08,7.426140768984624e-07
N1365,False,0.00483,135.86279623041727,31.32541543530425,0.0500632419879221,31.325415657683823,0.05006324198792222,-2.2237957253423701e-07,0.07080011579568571,78.64746822456762,78.64746017031403,8.054253584077742e-06,2.2237957253423701e-07,8.054253584077742e-06
N1559,False,0.00407,68.84088748488503,31.46078272204369,0.0516333818314369,31.4607828127205,0.051633381831437127,-9.067681006058592e-08,0.07302062885720678,62.267089704007184,62.26708710384476,2.6001624249261113e-06,9.067681006058592e-08,2.6001624249261113e-06
N2442,False,0.00488,133.31717130180132,31.465229402600443,0.0546366996015777,31.465229359648603,0.054636699601577694,4.2951839418492455e-08,0.07726796157985585,74.50658266510234,74.50658413884653,-1.4737441915713134e-06,4.2951839418492455e-08,1.4737441915713134e-06
N2525,False,0.00602,77.89999876987692,32.01138450158723,0.0606591197975918,32.011384827452495,0.060659119797592,-3.258652654380967e-07,0.08578494989936877,71.47271732310762,71.47270659744784,1.0725659777222063e-05,3.258652654380967e-07,1.0725659777222063e-05
N2608,False,0.00855,83.41474960345026,32.62780095307221,0.1148434167441644,32.62780095609936,0.11484341674416454,-3.0271465334408276e-09,0.16241311750886278,76.42344785295253,76.42344774641423,1.0653830884166382e-07,3.0271465334408276e-09,1.0653830884166382e-07
N3021,False,0.00673,54.1974425370972,32.39157825089393,0.0966189000632787,32.391578056420705,0.09661890006327875,1.9447322330279349e-07,0.13663975885105945,67.06873529200871,67.06874129856614,-6.006557427440384e-06,1.9447322330279349e-07,6.006557427440384e-06
N3147,False,0.01079,223.40894356439284,33.09079245164216,0.0854830197759541,33.09079227028219,0.08548301977595425,1.8135996526780218e-07,0.12089124591976189,77.92622844007376,77.92623494842204,-6.5083482780892155e-06,1.8135996526780218e-07,6.5083482780892155e-06
N3254,False,0.00648,109.46338856575277,32.40309755164495,0.056427656454706,32.403097669538646,0.05642765645470616,-1.1789369835923935e-07,0.07980075705117506,64.23566114739536,64.23565765990945,3.4874859125011426e-06,1.1789369835923935e-07,3.4874859125011426e-06
N3370,False,0.00588,80.45305219029427,32.14249679432585,0.0456347313322023,32.14249684857287,0.04563473133220254,-5.4247017544639675e-08,0.06453725596525307,65.72016878546579,65.72016714366595,1.6417998409679058e-06,5.4247017544639675e-08,1.6417998409679058e-06
N3447,False,0.00465,51.72330736696996,31.944288930942335,0.0333315910022108,31.944289163808396,0.03333159100221108,-2.328660606565336e-07,0.04713798805079974,56.93979111963599,56.93978501348236,6.106153634277689e-06,2.328660606565336e-07,6.106153634277689e-06
N3583,False,0.00857,102.6945397409901,32.7899012784913,0.0634223058066292,32.789901378759694,0.06342230580662947,-1.002683944761884e-07,0.08969268502870911,71.09208789414787,71.09208461144934,3.2826985290057564e-06,1.002683944761884e-07,3.2826985290057564e-06
N4038,False,0.00571,99.24471174407964,31.633833407662937,0.0800615212766845,31.633833444421185,0.08006152127668469,-3.675824800097871e-08,0.11322408921370947,80.66592711661346,80.66592575111687,1.3654965869136504e-06,3.675824800097871e-08,1.3654965869136504e-06
N4639,False,0.00359,96.40480287112231,31.78738500726915,0.0713565283748475,31.78738490018261,0.07135652837484757,1.0708654230029424e-07,0.10091337019156997,47.253953549810404,47.25395588014745,-2.3303370468852336e-06,1.0708654230029424e-07,2.3303370468852336e-06
N4680,False,0.00864,100.59139374396904,32.5468099373571,0.1470442585163361,32.54680985917825,0.14704425851633615,7.81788429549124e-08,0.20795198466289805,80.16272242225186,80.16272530832534,-2.8860734744284855e-06,7.81788429549124e-08,2.8860734744284855e-06
N5468,False,0.00954,64.83843341735236,33.18726848481219,0.0485085615123016,33.18726859873988,0.04850856151230177,-1.1392768328732927e-07,0.06860146558190658,65.90454721990034,65.90454376217639,3.4577239489408385e-06,1.1392768328732927e-07,3.4577239489408385e-06
N5584,False,0.00625,92.5016917700842,31.86553948636049,0.0453757045325274,31.86553960658754,0.0453757045325276,-1.2022704964920194e-07,0.06417093675213471,79.35838535956727,79.35838096576322,4.393804047708727e-06,1.2022704964920194e-07,4.393804047708727e-06
N5728,False,0.00996,166.738644821125,32.91590277778192,0.103192618959824,32.91590301173811,0.10319261895982422,-2.3395618597987777e-07,0.14593640126978225,77.96496455699234,77.96495615698474,8.400007601494508e-06,2.3395618597987777e-07,8.400007601494508e-06
N5861,False,0.00677,106.20418271445524,32.205206817919304,0.0756344575522645,32.205206770662684,0.07563445755226456,4.7256619950530876e-08,0.10696327565314466,73.51365368063084,73.51365528047009,-1.5998392512983628e-06,4.7256619950530876e-08,1.5998392512983628e-06
N5917,False,0.0071,52.64017958361095,32.33689541476568,0.0769424972155627,32.336895415494844,0.0769424972155628,-7.291660608643724e-10,0.10881312308510295,72.56045021022781,72.56045018586252,2.436529200622317e-08,7.291660608643724e-10,2.436529200622317e-08
N7250,False,0.00432,50.4111892361293,31.605972237460463,0.103313425286753,31.605972319327673,0.10331342528675323,-8.186720990011054e-08,0.14610724721574572,61.81729570561067,61.817293375021805,2.330588863230787e-06,8.186720990011054e-08,2.330588863230787e-06
N7329,False,0.01028,116.39793698312904,33.26914458542828,0.0702010071802581,33.269144742815094,0.07020100718025818,-1.5738681469201765e-07,0.09927921644657209,68.38878695366365,68.38878199689198,4.956771675779237e-06,1.5738681469201765e-07,4.956771675779237e-06
N7541,False,0.00814,61.802987112436774,32.579683470837224,0.0843555788926216,32.57968336537841,0.08435557889262173,1.0545881679036029e-07,0.11929680373177914,74.38894742461277,74.38895103735518,-3.6127424181131573e-06,1.0545881679036029e-07,3.6127424181131573e-06
N7678,False,0.01061,102.49610850692297,33.26689439729975,0.0832042725418636,33.266894473167866,0.08320427254186367,-7.58681153456564e-08,0.11766861067609087,70.65732757346217,70.65732510479705,2.4686651158845052e-06,7.58681153456564e-08,2.4686651158845052e-06
N976A,False,0.01312,212.70617385012537,33.54384445493261,0.0823285152545172,33.54384437006158,0.08232851525451733,8.487103286825004e-08,0.11643010284297856,76.91050216782021,76.91050517383304,-3.0060128324294055e-06,8.487103286825004e-08,3.0060128324294055e-06
U9391,False,0.00747,72.84250306090047,32.81599028059958,0.0544388860427793,32.8159905371589,0.05443888604277943,-2.5655932489598854e-07,0.07698821096218196,61.227037814264555,61.22703058029442,7.233970137576762e-06,2.5655932489598854e-07,7.233970137576762e-06
