x_mode,anchor_convention,model,rank,n_params,chi2,delta_chi2,H0,H0_shift,condition_number,min_singular_value,max_param_correlation,max_abs_kappa,status,kappa0_6,kappa0_6_err,kappa0_6_sig,kappaP_6,kappaP_6_err,kappaP_6_sig,kappaZ_6,kappaZ_6_err,kappaZ_6_sig,kappaSN_6,kappaSN_6_err,kappaSN_6_sig,kappaCep_6,kappaCep_6_err,kappaCep_6_sig
centered,anchor_screened_physical,cepheid_offset,47,47,3552.6057763588933,0.1004941106575643,73.12247467084623,0.07905309541693839,206.0368458939146,0.3017524798630206,0.9996478624504936,66654.760951057,ok,-66654.760951057,210262.0380227695,0.31700806088371924,,,,,,,,,,,,
centered,anchor_screened_physical,cepheid_period,47,47,3549.78886413438,2.9174063351706536,73.59530855777628,0.5518869823469856,205.5625531471252,0.3024585296747209,0.9997600311857823,368523.796008206,ok,,,,-368523.796008206,215758.08318578865,1.7080416666979341,,,,,,,,,
centered,anchor_screened_physical,cepheid_offset_plus_period,48,48,3549.231508847823,3.4747616217277937,73.53043204995784,0.48701047452854596,206.06807679994654,0.3017184680639901,0.9996311505243672,474738.18255185045,ok,188028.75243485693,251859.42186820193,0.7465623125794849,-474738.18255185045,258442.78218533928,1.836917938034723,,,,,,,,,
centered,anchor_screened_physical,cepheid_offset_plus_metallicity,48,48,3552.4480078687648,0.25826260078611085,73.19289130416014,0.14946972873084974,206.79440891051527,0.3006514715969046,0.9998889240515955,305452.80187177914,ok,-62170.63281501477,210564.89127106406,0.29525640499574723,,,,305452.80187177914,769013.5259815683,0.3972008183885965,,,,,,
centered,anchor_screened_physical,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
centered,anchor_screened_physical,cepheid_plus_sn,48,48,3551.7653679384885,0.9409025310624202,72.95975264117922,-0.08366893425007049,1219.7992446854914,0.050969148787624236,0.9997693383063513,438265.976089788,ok,,,,,,,,,,438265.976089788,478071.1748167659,0.9167379235064019,261788.7145620385,415416.0225656584,0.6301844424420621
centered,anchor_reference_zero,cepheid_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650991245,0.09231493448315575,205.6421312679902,0.3023466978202367,0.9993134035839151,178434.09677071476,ok,-178434.09677071476,241974.82541979977,0.737407688841809,,,,,,,,,,,,
centered,anchor_reference_zero,cepheid_period,47,47,3552.4938122443405,0.2124582252104119,73.10469476936942,0.061273193940124315,205.4867077364939,0.30256909797920284,0.9993696904717609,152031.72096491838,ok,,,,-152031.72096491838,329835.53064500104,0.46093190951143687,,,,,,,,,
centered,anchor_reference_zero,cepheid_offset_plus_period,48,48,3551.910581994396,0.7956884751547477,73.11264355965432,0.0692219842250239,205.66032365127907,0.3023306750757852,0.9987884027682487,443148.0434221063,ok,-443148.0434221063,580268.259719385,0.7636951289329708,396995.87210155115,790962.816189447,0.5019147094854898,,,,,,,,,
centered,anchor_reference_zero,cepheid_offset_plus_metallicity,48,48,3550.8724316003086,1.8338388692422996,73.16548320958285,0.1220616341535532,314.7534154455703,0.19753637678882466,0.9942846491676413,1650674.1719291182,ill_conditioned,-240585.35973027995,248084.78231806034,0.9697707270969742,,,,1650674.1719291182,1453298.8336804179,1.1358119429221971,,,,,,
centered,anchor_reference_zero,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
centered,anchor_reference_zero,cepheid_plus_sn,47,48,3552.1625003699937,0.5437700995571504,73.13573650991087,0.09231493448157835,9.798116089048779e+16,6.345629992367304e-16,0.9995240651058429,15997115.024412086,pathological,,,,,,,,,,-15818680.927641626,115788.35095341859,136.61720542168743,-15997115.024412086,131716.34715007077,121.45125013363605
raw_sigma2,anchor_screened_physical,cepheid_offset,47,47,3552.5817488600374,0.12452160951352198,73.22864112188833,0.18521954645903804,208.79682927977703,0.29870414760675706,0.9998647041927006,72485.29088657946,ok,-72485.29088657946,205412.80981779084,0.3528761957488276,,,,,,,,,,,,
raw_sigma2,anchor_screened_physical,cepheid_period,47,47,3549.78886413438,2.9174063351706536,73.59530855777838,0.5518869823490888,205.6971027678532,0.30245923467636887,0.9997542534267065,368523.796008262,ok,,,,-368523.796008262,215758.08318578868,1.7080416666981937,,,,,,,,,
raw_sigma2,anchor_screened_physical,cepheid_offset_plus_period,48,48,3549.1924509879,3.5138194816508985,73.27351372968415,0.23009215425486218,209.9243268216884,0.29730833764789527,0.9998574870513518,485979.3940764782,ok,194087.26394015062,251317.9068038373,0.7722778945936499,-485979.3940764782,263975.1137738651,1.8410045823213228,,,,,,,,,
raw_sigma2,anchor_screened_physical,cepheid_offset_plus_metallicity,48,48,3552.3924860234647,0.3137844460861743,73.30812850594334,0.2647069305140519,211.23212483800447,0.29526077845844867,0.9999420013813061,352266.1485981616,ok,-70344.09023007345,205471.76602715047,0.3423540449872727,,,,352266.1485981616,809726.2876230679,0.4350434881300821,,,,,,
raw_sigma2,anchor_screened_physical,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.64554381483828,0.6021222394089847,205.29693902059964,0.3028381152324416,0.9999531455120184,178434.09677083732,ok,,,,,,,,,,178434.09677083732,241974.8254197997,0.7374076888423157,,,
raw_sigma2,anchor_screened_physical,cepheid_plus_sn,48,48,3551.897744453626,0.8085260159250538,73.80780537038066,0.764383794951371,1067.4900525321236,0.0584253490855873,0.9999755173357021,377786.34374388214,ok,,,,,,,,,,377786.34374388214,456790.22865904385,0.8270455890725028,199524.8441398509,387769.94343680097,0.5145443774508779
raw_sigma2,anchor_reference_zero,cepheid_offset,47,47,3552.1625003699914,0.5437700995594241,73.64554381483816,0.602122239408871,210.35184672365617,0.2961409312232845,0.999948831983501,178434.0967707997,ok,-178434.0967707997,241974.82541980033,0.7374076888421582,,,,,,,,,,,,
raw_sigma2,anchor_reference_zero,cepheid_period,47,47,3550.0009128937654,2.705357575785456,74.09401733876523,1.0505957633359344,206.19259254158706,0.3017127455288258,0.9999355484267237,479508.7510639817,ok,,,,-479508.7510639817,291530.6358222254,1.6447971229904796,,,,,,,,,
raw_sigma2,anchor_reference_zero,cepheid_offset_plus_period,48,48,3548.892953700962,3.81331676858872,73.5496461526315,0.5062245772022038,211.41848349078916,0.294834632218798,0.9999534386573549,914577.9916980496,ok,441900.8571314029,419819.8424749477,1.052596405463548,-914577.9916980496,505797.84651223157,1.8081887813572028,,,,,,,,,
raw_sigma2,anchor_reference_zero,cepheid_offset_plus_metallicity,48,48,3552.1510340375658,0.5552364319851222,73.59338017299136,0.5499585975620676,215.3581484828617,0.28925673241545335,0.9999906470216142,173130.49324669,ok,-173130.49324669,246991.75946286798,0.7009565567013094,,,,-103768.60203755989,969066.7705619553,0.10708096200366582,,,,,,
raw_sigma2,anchor_reference_zero,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.64554381483828,0.6021222394089847,205.29693902059964,0.3028381152324416,0.9999531455120184,178434.09677083732,ok,,,,,,,,,,178434.09677083732,241974.8254197997,0.7374076888423157,,,
raw_sigma2,anchor_reference_zero,cepheid_plus_sn,47,48,3552.16250036999,0.5437700995607884,73.645543814837,0.6021222394077057,9.631583016232613e+16,6.46765871406082e-16,0.9999249603234438,47226053.93178704,pathological,,,,,,,,,,-47047619.83501609,135166.64862440457,348.0712166338462,-47226053.93178704,120892.29938384525,390.64567530343305
unscreened_centered,anchor_screened_physical,cepheid_offset,47,47,3552.6057763588933,0.1004941106575643,73.12247467084623,0.07905309541693839,206.0368458939146,0.3017524798630206,0.9996478624504936,66654.760951057,ok,-66654.760951057,210262.0380227695,0.31700806088371924,,,,,,,,,,,,
unscreened_centered,anchor_screened_physical,cepheid_period,47,47,3549.78886413438,2.9174063351706536,73.59530855777628,0.5518869823469856,205.5625531471252,0.3024585296747209,0.9997600311857823,368523.796008206,ok,,,,-368523.796008206,215758.08318578865,1.7080416666979341,,,,,,,,,
unscreened_centered,anchor_screened_physical,cepheid_offset_plus_period,48,48,3549.231508847823,3.4747616217277937,73.53043204995784,0.48701047452854596,206.06807679994654,0.3017184680639901,0.9996311505243672,474738.18255185045,ok,188028.75243485693,251859.42186820193,0.7465623125794849,-474738.18255185045,258442.78218533928,1.836917938034723,,,,,,,,,
unscreened_centered,anchor_screened_physical,cepheid_offset_plus_metallicity,48,48,3552.4480078687648,0.25826260078611085,73.19289130416014,0.14946972873084974,206.79440891051527,0.3006514715969046,0.9998889240515955,305452.80187177914,ok,-62170.63281501477,210564.89127106406,0.29525640499574723,,,,305452.80187177914,769013.5259815683,0.3972008183885965,,,,,,
unscreened_centered,anchor_screened_physical,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
unscreened_centered,anchor_screened_physical,cepheid_plus_sn,48,48,3551.7653679384885,0.9409025310624202,72.95975264117922,-0.08366893425007049,1219.7992446854914,0.050969148787624236,0.9997693383063513,438265.976089788,ok,,,,,,,,,,438265.976089788,478071.1748167659,0.9167379235064019,261788.7145620385,415416.0225656584,0.6301844424420621
unscreened_centered,anchor_reference_zero,cepheid_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650991245,0.09231493448315575,205.6421312679902,0.3023466978202367,0.9993134035839151,178434.09677071476,ok,-178434.09677071476,241974.82541979977,0.737407688841809,,,,,,,,,,,,
unscreened_centered,anchor_reference_zero,cepheid_period,47,47,3552.4938122443405,0.2124582252104119,73.10469476936942,0.061273193940124315,205.4867077364939,0.30256909797920284,0.9993696904717609,152031.72096491838,ok,,,,-152031.72096491838,329835.53064500104,0.46093190951143687,,,,,,,,,
unscreened_centered,anchor_reference_zero,cepheid_offset_plus_period,48,48,3551.910581994396,0.7956884751547477,73.11264355965432,0.0692219842250239,205.66032365127907,0.3023306750757852,0.9987884027682487,443148.0434221063,ok,-443148.0434221063,580268.259719385,0.7636951289329708,396995.87210155115,790962.816189447,0.5019147094854898,,,,,,,,,
unscreened_centered,anchor_reference_zero,cepheid_offset_plus_metallicity,48,48,3550.8724316003086,1.8338388692422996,73.16548320958285,0.1220616341535532,314.7534154455703,0.19753637678882466,0.9942846491676413,1650674.1719291182,ill_conditioned,-240585.35973027995,248084.78231806034,0.9697707270969742,,,,1650674.1719291182,1453298.8336804179,1.1358119429221971,,,,,,
unscreened_centered,anchor_reference_zero,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
unscreened_centered,anchor_reference_zero,cepheid_plus_sn,47,48,3552.1625003699937,0.5437700995571504,73.13573650991087,0.09231493448157835,9.798116089048779e+16,6.345629992367304e-16,0.9995240651058429,15997115.024412086,pathological,,,,,,,,,,-15818680.927641626,115788.35095341859,136.61720542168743,-15997115.024412086,131716.34715007077,121.45125013363605
